gene,log2FC,p
Cxcr4,-0.04389721,0.81012386
Thsd7b,-0.23673195,0.23610285
Cd55b,0.0038476838,0.4226497
Gm15675,0.0,1.0
Cd55,-0.01956997,0.42264977
Gm16083,-0.057114407,0.4226497
Gm29427,0.0,1.0
Pfkfb2,0.0044536777,0.835964
Yod1,-0.1364239,0.21200411
AA986860,-0.013988544,0.27874634
Fcmr,0.0,1.0
Il10,0.0,1.0
Mapkapk2,0.025961965,0.53532124
Dyrk3,-0.032688458,0.42196622
Eif2d,0.0005612597,0.99168634
Rassf5,0.031423073,0.32148665
Ikbke,0.010097691,0.42264977
Gm28913,0.0,1.0
Srgap2,0.015757382,0.92978793
Fam72a,-0.02646938,0.10922636
Ctse,0.003529051,0.42264965
Rab7b,0.0,1.0
Slc26a9,0.0,1.0
Pm20d1,0.0,1.0
Slc41a1,-0.030549753,0.39663613
Rab29,-0.08007796,0.32819524
Nucks1,-0.3323989,0.10631265
Slc45a3,-0.006981404,0.4226497
Elk4,-0.07783603,0.109203465
Mfsd4,-0.1332705,0.14232776
Gm26892,0.001983923,0.42264977
Cdk18,-0.04467056,0.21712966
Gm29629,0.0,1.0
Lemd1,-0.008853003,0.6110597
Klhdc8a,-0.00074806344,0.9600272
Nuak2,0.078653485,0.010175495
Tmcc2,-0.099800184,0.4005982
Dstyk,-0.10749085,0.4300966
Rbbp5,-0.070967674,0.57440114
Tmem81,0.011843897,0.57491416
Cntn2,-0.08717318,0.547215
Nfasc,-0.03740695,0.8670999
Gm10538,0.0,1.0
Lrrn2,-0.15665652,0.1102368
Mdm4,-0.09503454,0.1625533
Pik3c2b,-0.101417184,0.22961332
Gm28609,0.0,1.0
Ppp1r15b,-0.02465336,0.7153502
Plekha6,-0.2002743,0.4410102
Gm19461,0.0,1.0
Ren1,0.0044997223,0.4226497
Etnk2,0.027479792,0.24289322
Sox13,0.011720905,0.47998905
Snrpe,0.0539366,0.8281806
Zc3h11a,-0.10954831,0.05831637
Gm38394,-0.00047721714,0.97010845
Lax1,0.0,1.0
Atp2b4,-0.19766527,0.13294144
Optc,0.0030530049,0.5714227
Gm15851,0.0,1.0
Prelp,0.014014897,0.4226497
Fmod,0.0,1.0
Btg2,0.50951594,0.022623263
Chil1,0.0,1.0
Mybph,0.0,1.0
Adora1,-0.19146577,0.1997528
Myog,0.0,1.0
Ppfia4,0.059394106,0.4875089
Tmem183a,0.11123529,0.20233907
Cyb5r1,0.06834897,0.27622193
Adipor1,-0.052238435,0.40699825
Platr1,0.0,1.0
Klhl12,-0.13838121,0.10022859
Rabif,0.0366721,0.4303706
Kdm5b,0.26352373,0.32268873
Syt2,-0.0040535647,0.8840872
Ppp1r12b,-0.070798084,0.21851255
Gm28892,0.0,1.0
Ube2t,-0.079550445,0.26935777
Lgr6,-0.0015442009,0.42264977
Ptpn7,0.0,1.0
Arl8a,-0.21450472,0.27226084
Gm15445,-0.010212711,0.42264977
Gpr37l1,-0.007831141,0.9439522
Gm26642,0.0,1.0
Elf3,0.0,1.0
Rnpep,0.059584558,0.19000195
Timm17a,-0.012829542,0.8693642
Lmod1,0.0,1.0
Shisa4,0.06064126,0.55778974
Ipo9,-0.0045731664,0.9730688
Nav1,0.11941749,0.5596722
Gm4793,-0.00040145498,0.9305166
Gm38399,0.0027830768,0.9318828
Csrp1,0.13095951,0.1201066
Phlda3,-0.054045662,0.5783744
Tnni1,0.017928442,0.42264965
Lad1,-0.007488336,0.42264965
Tnnt2,-0.037940104,0.054903448
Igfn1,0.0,1.0
Tmem9,-0.06651433,0.28483328
Cacna1s,0.014949807,0.23888949
Gm37759,0.0,1.0
Kif21b,0.13804896,0.22181225
Mroh3,0.0,1.0
5730559C18Rik,0.0038537895,0.85904825
Gm26568,0.0,1.0
Gm26781,0.0,1.0
Camsap2,-0.13910414,0.07055864
Ddx59,-0.038886875,0.1381514
Kif14,-0.036593482,0.6234915
Platr23,0.0038476838,0.4226497
Zfp281,0.04749626,0.46989727
Gm19705,-0.009436396,0.42264977
Platr22,0.0,1.0
Nr5a2,0.0,1.0
A430106G13Rik,0.03545937,0.67862135
Ptprc,0.06575166,0.18020573
Nek7,0.11998423,0.44119474
Lhx9,0.021398682,0.6542752
2310009B15Rik,0.0024362057,0.9636844
Dennd1b,-0.00891979,0.93853563
Crb1,0.01246583,0.34152615
