gene,log2FC,p
Gm28913,0.001772161,0.42264965
Srgap2,-0.0046378076,0.9247261
Fam72a,-0.0019384073,0.8804661
Ctse,0.0,1.0
Rab7b,0.014914887,0.34192243
Slc26a9,0.0,1.0
Pm20d1,0.0034293886,0.4226497
Slc41a1,0.016793132,0.32299027
Rab29,0.003423687,0.8148222
Nucks1,-0.0031157136,0.9669425
Slc45a3,0.003414008,0.20949578
Elk4,0.011698067,0.80871457
Mfsd4,-0.062423483,0.01886518
Gm26892,0.0,1.0
Cdk18,0.025292873,0.33010226
Gm29629,0.0,1.0
Lemd1,-0.0042632674,0.55181116
Klhdc8a,0.012675181,0.24518189
Nuak2,0.0057380497,0.590621
Tmcc2,0.026084363,0.13304643
Dstyk,0.0014772415,0.9818456
Rbbp5,-0.014311716,0.5653779
Tmem81,-0.0020463308,0.86966985
Cntn2,0.034366816,0.4112147
Nfasc,0.14583898,0.10812403
Gm10538,0.00073006557,0.42264965
Lrrn2,-0.04819703,0.6555027
Mdm4,0.0686976,0.5059025
Pik3c2b,-0.025853567,0.58098423
Gm28609,0.0,1.0
Ppp1r15b,0.04577163,0.08318218
Plekha6,-0.012122348,0.61168367
Gm19461,0.0,1.0
Ren1,0.0,1.0
Etnk2,-0.01593476,0.20791557
Sox13,0.035190053,0.13648587
Snrpe,-0.067872524,0.51564735
Zc3h11a,-0.02996625,0.5536954
Gm38394,0.011403792,0.60129225
Lax1,0.0,1.0
Atp2b4,-0.0069451854,0.7512661
Optc,-0.007378687,0.32396656
Gm15851,0.0,1.0
Prelp,-0.020611571,0.32804346
Fmod,-0.0060577407,0.23123407
Btg2,0.16647092,0.10916191
Chil1,0.010504656,0.47163436
Mybph,-0.0030382134,0.49259266
Adora1,-0.1120286,0.44893903
Myog,0.0,1.0
Ppfia4,0.034293495,0.122391045
Tmem183a,0.010100797,0.814107
Cyb5r1,0.0296738,0.008030324
Adipor1,0.095691785,0.011995291
Platr1,0.0,1.0
Klhl12,0.0044520795,0.89272463
Rabif,-0.0024887025,0.9031102
Kdm5b,0.03874147,0.5636805
Syt2,-0.0014244323,0.4226497
Ppp1r12b,0.0105434805,0.6847653
Gm28892,0.0,1.0
Ube2t,-0.0027527688,0.4226497
Lgr6,0.0005374815,0.8321953
Ptpn7,0.0,1.0
Arl8a,0.02178359,0.85154533
Gm15445,0.0039408915,0.46363702
Gpr37l1,-0.21966171,0.4309399
Gm26642,0.0,1.0
Elf3,0.0,1.0
Rnpep,0.059237123,0.2076726
Timm17a,0.022034645,0.6911285
Lmod1,0.0,1.0
Shisa4,0.10498744,0.3463812
Ipo9,0.017733783,0.5988605
Nav1,-0.07234585,0.2493756
Gm4793,0.0015665237,0.65244174
Gm38399,0.02184908,0.5934657
Csrp1,0.07310462,0.5740919
Phlda3,0.013918489,0.75209844
Tnni1,0.04394745,0.23142765
Lad1,-0.0315295,0.56500953
Tnnt2,0.012327624,0.06426235
Igfn1,-0.0019664143,0.42264965
Tmem9,0.06689277,0.5511633
Cacna1s,0.0039781244,0.328084
Gm37759,0.0,1.0
Kif21b,-0.040626615,0.3993877
Mroh3,0.0028778166,0.83564687
5730559C18Rik,0.04210967,0.6850065
Gm26568,0.00044693856,0.87078774
Gm26781,-0.0014853455,0.6280166
Camsap2,0.0058689713,0.8896427
Ddx59,0.02657891,0.14289992
Kif14,0.0,1.0
Platr23,-0.0017328617,0.42264977
Zfp281,0.05566433,0.040336292
Gm19705,0.002656024,0.85761726
Platr22,0.0,1.0
Nr5a2,-0.0018930637,0.4226497
A430106G13Rik,0.041622985,0.23996305
Ptprc,0.024089435,0.31742224
