gene,log2FC,p
Dars,0.00086434186,0.9862006
Cxcr4,-0.17715943,0.2833561
Thsd7b,0.0,1.0
Cd55b,0.0,1.0
Gm15675,-0.0064997342,0.7148245
Cd55,-0.031351313,0.73057026
Gm16083,0.0,1.0
Gm29427,0.0,1.0
Pfkfb2,-0.017847804,0.40902615
Yod1,0.007716572,0.7161357
AA986860,0.0,1.0
Fcmr,0.0,1.0
Il10,0.11073645,0.43573648
Mapkapk2,-0.08347362,0.51970005
Dyrk3,-0.0036909832,0.4226497
Eif2d,0.010435723,0.7092674
Rassf5,0.049348578,0.56158984
Ikbke,0.010346722,0.25895214
Gm28913,0.0,1.0
Srgap2,-0.04069233,0.5635743
Fam72a,0.03517994,0.3072046
Ctse,-0.0056221667,0.6816812
Rab7b,-0.12839505,0.37251875
Slc26a9,0.0,1.0
Pm20d1,0.0,1.0
Slc41a1,-0.030145764,0.6043686
Rab29,-0.01392952,0.73387265
Nucks1,0.056882262,0.59293056
Slc45a3,0.010371712,0.42264965
Elk4,0.012985557,0.73451656
Mfsd4,0.019221453,0.3862641
Gm26892,0.0,1.0
Cdk18,-0.007524768,0.53983325
Gm29629,0.0,1.0
Lemd1,0.0,1.0
Klhdc8a,0.0,1.0
Nuak2,-0.01402235,0.9017929
Tmcc2,-0.010730062,0.64743793
Dstyk,0.014632359,0.79017353
Rbbp5,0.045828875,0.32141554
Tmem81,0.00030609407,0.9755808
Cntn2,0.025369467,0.36857903
Nfasc,0.07215767,0.21304052
Gm10538,0.0,1.0
Lrrn2,-0.0022494926,0.42264965
Mdm4,0.008491933,0.89651704
Pik3c2b,0.003663967,0.66582453
Gm28609,0.0,1.0
Ppp1r15b,0.008074522,0.91151845
Plekha6,0.0041883686,0.42264977
Gm19461,0.0,1.0
Ren1,0.0,1.0
Etnk2,0.002629067,0.42264977
Sox13,0.0061544795,0.4226497
Snrpe,0.06777078,0.6428501
Zc3h11a,-0.025655754,0.59801185
Gm38394,-0.0021195202,0.7907678
Lax1,0.0,1.0
Atp2b4,-0.0022879438,0.8676816
Optc,0.0,1.0
Gm15851,0.0,1.0
Prelp,0.0063696075,0.60456836
Fmod,0.0056927116,0.42264977
Btg2,-0.19944859,0.54075474
Chil1,0.0073471717,0.4226497
Mybph,0.0,1.0
