gene,log2FC,p
Lmod1,0.0013935668,0.62497497
Shisa4,-0.04626058,0.32882735
Ipo9,-0.00037321448,0.9855839
Nav1,0.019949196,0.30229568
Gm4793,0.0,1.0
Gm38399,-0.00057692453,0.4226497
Csrp1,0.17022318,0.08490751
Phlda3,0.084365726,0.07734054
Tnni1,0.009227618,0.16566469
Lad1,0.0,1.0
Tnnt2,0.005240302,0.55129224
Igfn1,-0.03915891,0.066636465
Tmem9,-0.12854724,0.12855093
Cacna1s,0.06596471,0.21735188
Gm37759,0.0013261097,0.4226497
Kif21b,0.05332247,0.28730938
Mroh3,0.008125428,0.36964107
