gene,log2FC_z,p,padj
2410006H16Rik,-1.0005750407689722,0.014574015251118944,0.8238695971286251
2410015M20Rik,-0.18669818656699821,0.5770496424454822,0.9899338981042789
2410018L13Rik,0.1512105244890303,0.7129982010712208,0.9912238977957673
2410022M11Rik,-0.6928568352196627,0.07306771286803622,0.9797091146849901
2410089E03Rik,-0.09645224141207018,0.8055688436335167,0.9957145576505264
2410131K14Rik,-0.10861998218408021,0.7695962894838132,0.9957145576505264
2500002B13Rik,0.15846563820707427,0.6667578505397268,0.9900843878271318
2500004C02Rik,-0.4840565872739492,0.21431235195900875,0.9857739113502277
2510002D24Rik,-0.9053980641976533,0.018647703753267936,0.8588710698950669
2510009E07Rik,-0.42276121868885497,0.27425814062124926,0.9857739113502277
2510016D11Rik,-0.3502472266939254,0.41662144288058756,0.9857739113502277
2510017J16Rik,-0.5094448749702383,0.2774747357905026,0.9857739113502277
2510039O18Rik,-0.3090284049153238,0.37294762586855085,0.9857739113502277
2510046G10Rik,0.6387127877650037,0.14207811376848276,0.9857739113502277
2600014E21Rik,-0.6079076730387809,0.12065860646213848,0.9828772960271867
2610001J05Rik,-0.3102924120882658,0.3969971146097272,0.9857739113502277
2610002M06Rik,-0.2265640249750086,0.579621740868011,0.9899338981042789
2610005L07Rik,-0.24572462052627286,0.5483975825983323,0.9857739113502277
2610008E11Rik,-0.16835994083325068,0.681267101115641,0.9900843878271318
2610020C07Rik,-0.056266978050972354,0.8876051092159217,0.9957145576505264
2610021A01Rik,-0.29775881305645846,0.4397411649203466,0.9857739113502277
2610028E06Rik,-0.12122584501137268,0.7675055825796441,0.995391671407995
2610035D17Rik,-0.10220206296869418,0.7833815089645048,0.9957145576505264
2610035F20Rik,0.07823397788112361,0.8610354288714289,0.9957145576505264
2610037D02Rik,-0.05983232672465609,0.8625242436837477,0.9957145576505264
2610042L04Rik,0.30747478771409303,0.4116639985004863,0.9857739113502277
2610044O15Rik8,-0.1813744424380023,0.6468219755787138,0.9899338981042789
2610203C20Rik,0.2628005193680456,0.4729571111549489,0.9857739113502277
2610203C22Rik,-0.6322143538047885,0.0806842056584015,0.9824171433538732
2610301B20Rik,0.24448953335147905,0.5176958247504002,0.9857739113502277
2610306M01Rik,-0.8791695586604126,0.011373020418361256,0.7902081471691471
2610316D01Rik,-0.010275013613958543,0.9770583099599163,0.9994993364511346
2610318N02Rik,-0.5898794343597872,0.14423844311722062,0.9857739113502277
2610507B11Rik,-0.06125642442915666,0.8798275558769655,0.9957145576505264
2610507I01Rik,-0.6156710236345992,0.12788222753708017,0.9828772960271867
2610524H06Rik,-0.385381501012344,0.3251589115605966,0.9857739113502277
2700029L08Rik,0.2584805682914166,0.5006719950486654,0.9857739113502277
2700038G22Rik,0.28113736796043065,0.4929971620543757,0.9857739113502277
2700046A07Rik,0.14376099734768377,0.6834077077512807,0.9903221475185677
2700046G09Rik,-0.4475096829386234,0.28795925962256186,0.9857739113502277
2700049A03Rik,0.21170591370258532,0.5775412408052532,0.9899338981042789
2700062C07Rik,-0.18080280962636636,0.6779547706683599,0.9900843878271318
2700069I18Rik,-0.5802415161681542,0.09439792410589258,0.9828772960271867
2700081O15Rik,-0.38925423495398936,0.35031382476916406,0.9857739113502277
2700097O09Rik,0.23955467331000002,0.5463847099814247,0.9857739113502277
2810001G20Rik,-0.8254454072848871,0.050995832006374836,0.9448929395613455
2810002D19Rik,-0.36096512298713923,0.3325730522323525,0.9857739113502277
2810004N23Rik,-0.2814686016476513,0.48397640843651785,0.9857739113502277
2810006K23Rik,0.019987064912689107,0.9576058575564473,0.9974522354524169
2810013P06Rik,-0.36698110734859984,0.24398730449677608,0.9857739113502277
2810021J22Rik,-0.0015132102511502008,0.9967862572809993,0.999883274722964
2810025M15Rik,-0.12379337165080948,0.7405011480525574,0.994279382038193
2810029C07Rik,0.026974681981489307,0.9481976981781238,0.9974522354524169
2810032G03Rik,0.03187525977821715,0.9352406416792878,0.9974522354524169
2810039B14Rik,0.3088486596478389,0.43635115711674655,0.9857739113502277
2810049E08Rik,-0.33849136919078243,0.4214728051262146,0.9857739113502277
2810402E24Rik,-0.4158466425688962,0.31204832293219065,0.9857739113502277
2810403A07Rik,0.24382755729973038,0.5701244720935061,0.9899338981042789
2810403D21Rik,-0.13873338181973677,0.7527529726300332,0.995002303447194
2810405F17Rik,-0.6012023669691315,0.12663958187419527,0.9828772960271867
2810407A14Rik,-0.9934740727538288,0.0030367333219716397,0.6078585500663042
2810408A11Rik,-0.32491613270928194,0.40200818964529866,0.9857739113502277
2810410L24Rik,-0.919945580948746,0.02002263237551259,0.8588710698950669
2810414N06Rik,0.06867417696084786,0.8548432911129494,0.9957145576505264
2810428J06Rik,-0.7045820921706987,0.07835512405742913,0.9797091146849901
2810429I04Rik,-0.1570068541138468,0.7172102049795347,0.9913738368401528
2810454H06Rik,-0.0873079076986371,0.8112852323108545,0.9957145576505264
2810455O05Rik,0.09744346803382176,0.7966845879035763,0.9957145576505264
2810459M11Rik,-0.4197264900566843,0.24724098848633796,0.9857739113502277
2810468N07Rik,-1.0109344243120693,0.007663593067022816,0.68127867924478
2810474O19Rik,0.1980072616747402,0.6347427112829073,0.9899338981042789
2900005J15Rik,-0.3657459500816402,0.3429467312657485,0.9857739113502277
2900011O08Rik,-0.26879392010521463,0.45854119461041876,0.9857739113502277
2900022M07Rik,-0.43797389393113745,0.2642428068107936,0.9857739113502277
2900026A02Rik,-0.4497656352670852,0.2501748431107088,0.9857739113502277
2900041M22Rik,-0.38175268007793184,0.32906270201709986,0.9857739113502277
2900052L18Rik,-0.4092620034782666,0.28372072214422117,0.9857739113502277
2900052N01Rik,-0.2332928365704099,0.5860844549845947,0.9899338981042789
2900055J20Rik,-0.49674097437397047,0.2667704926263259,0.9857739113502277
2900064F13Rik,-0.6251442499179056,0.0963739250830963,0.9828772960271867
2900076A07Rik,0.3760206887512253,0.3864409218151901,0.9857739113502277
2900079G21Rik,-0.39224530589123,0.3160741545413322,0.9857739113502277
2900089D17Rik,-0.038190019025752205,0.9256583674190663,0.9969878088262657
2900093K20Rik,0.13569248974666193,0.7385305791364241,0.994279382038193
2900097C17Rik,-0.022248155537174727,0.9461463592172422,0.9974522354524169
3000002C10Rik,-0.6684229737534058,0.058635821825436446,0.951097323810929
3010001F23Rik,0.9944646216561184,0.02021384158613368,0.8588710698950669
3110001I22Rik,0.20342636432086253,0.5616626905028469,0.9878955165047228
3110002H16Rik,-0.012525150628926273,0.9746463565067448,0.9994993364511346
3110009E18Rik,-0.05963761662502008,0.8931626173420858,0.9957145576505264
3110021N24Rik,-0.8390937918179417,0.01830667230179981,0.8588710698950669
3110035E14Rik,-0.27484086135796487,0.48920132364825875,0.9857739113502277
