gene,dataset,log2FC,p,padj,n_post,n_ctrl
1700025G04Rik,GSE276942,-0.07365071851262783,0.5777312281278776,0.9992643367945064,13,4
1700026D08Rik,GSE276942,-0.15119847118684238,0.7270283254801767,0.9992643367945064,13,4
1700026L06Rik,GSE276942,-0.28165120206177185,0.574748144823996,0.9992643367945064,13,4
1700027J19Rik,GSE276942,-0.2526136222639712,0.1564374350055307,0.9992643367945064,13,4
1700028E10Rik,GSE276942,-0.21664862282215935,0.5298295626860344,0.9992643367945064,13,4
1700028J19Rik,GSE276942,0.33205261443291123,0.3896731931535131,0.9992643367945064,13,4
1700028K03Rik,GSE276942,-0.4309927370460964,0.4871143391033019,0.9992643367945064,13,4
1700028P14Rik,GSE276942,0.31341678971656695,0.5251310294357487,0.9992643367945064,13,4
1700029I15Rik,GSE276942,-0.3356025100689255,0.18309940469781538,0.9992643367945064,13,4
1700029J07Rik,GSE276942,-0.1291375481086643,0.8163504484161952,0.9992643367945064,13,4
1700030C10Rik,GSE276942,-0.6521856248396944,0.10334841643798352,0.9992643367945064,13,4
1700030C14Rik,GSE276942,0.7155597466441623,0.35733304710884906,0.9992643367945064,13,4
1700030J22Rik,GSE276942,0.021136696502767727,0.9210133387574526,0.9992643367945064,13,4
1700030K09Rik,GSE276942,-0.1174139980021307,0.3957294132443163,0.9992643367945064,13,4
1700034H15Rik,GSE276942,-0.234482936222018,0.281907499132006,0.9992643367945064,13,4
1700037C18Rik,GSE276942,-0.035528199613866995,0.8996316400778227,0.9992643367945064,13,4
1700037H04Rik,GSE276942,0.0917992136970156,0.258582024333141,0.9992643367945064,13,4
1700040D17Rik,GSE276942,-0.09687638834737822,0.7692232783186878,0.9992643367945064,13,4
1700040L02Rik,GSE276942,-0.6052574477579373,0.15862536777167463,0.9992643367945064,13,4
1700047M11Rik,GSE276942,-0.5063730530588186,0.030971294818560435,0.9992643367945064,13,4
1700048O20Rik,GSE276942,-0.39497742662906266,0.14931104173634474,0.9992643367945064,13,4
1700049G17Rik,GSE276942,-0.06644063754905183,0.856639666448192,0.9992643367945064,13,4
1700052K11Rik,GSE276942,-0.26237752654763735,0.08450067657933337,0.9992643367945064,13,4
1700055D18Rik,GSE276942,0.07036374573000881,0.7877636098417438,0.9992643367945064,13,4
1700056N10Rik,GSE276942,-0.3444295443132388,0.044291451127773634,0.9992643367945064,13,4
1700063D05Rik,GSE276942,-0.41280296779186454,0.0556594831962926,0.9992643367945064,13,4
1700065D16Rik,GSE276942,-0.4842180052065266,0.25984932754261714,0.9992643367945064,13,4
1700066M21Rik,GSE276942,-0.14140448931058813,0.5358216008640676,0.9992643367945064,13,4
1700084C01Rik,GSE276942,0.04811438100794341,0.731775184562582,0.9992643367945064,13,4
1700084E18Rik,GSE276942,-0.2650349393452469,0.5856538847649815,0.9992643367945064,13,4
1700086L19Rik,GSE276942,0.0339217638148952,0.8729314153274665,0.9992643367945064,13,4
1700086O06Rik,GSE276942,-0.17996485762685133,0.25736671677078565,0.9992643367945064,13,4
1700088E04Rik,GSE276942,-0.12713657567244674,0.6874051692872537,0.9992643367945064,13,4
1700095J03Rik,GSE276942,-0.4855503381262598,0.16349106686462805,0.9992643367945064,13,4
1700096K18Rik,GSE276942,-0.8230236881206903,0.0004543847503900949,0.2832255790117147,13,4
1700101E01Rik,GSE276942,0.21185118882545417,0.6544009335657612,0.9992643367945064,13,4
1700101I11Rik,GSE276942,0.09198865374832366,0.7816561278024428,0.9992643367945064,13,4
1700102P08Rik,GSE276942,0.5587040590455841,0.1592021816608172,0.9992643367945064,13,4
1700105P06Rik,GSE276942,-0.40912660871375817,0.33118465593661883,0.9992643367945064,13,4
1700109H08Rik,GSE276942,-0.016054326303804878,0.9693545919863854,0.9992643367945064,13,4
1700110C19Rik,GSE276942,0.12027371943995568,0.7380404062125036,0.9992643367945064,13,4
1700112D23Rik,GSE276942,-0.16931801920364054,0.6606504072345827,0.9992643367945064,13,4
1700112E06Rik,GSE276942,0.33327297728549565,0.08343713320784976,0.9992643367945064,13,4
1700112J16Rik,GSE276942,-0.19051444197935252,0.6972464871159674,0.9992643367945064,13,4
1700113A16Rik,GSE276942,-0.04524752235907137,0.8449282421914746,0.9992643367945064,13,4
1700120C14Rik,GSE276942,-0.29268182923999486,0.6392567859475907,0.9992643367945064,13,4
1700123M08Rik,GSE276942,0.1263048999953238,0.7041254485128824,0.9992643367945064,13,4
1700123O20Rik,GSE276942,-0.005264631712311285,0.9520792730576517,0.9992643367945064,13,4
1700124L16Rik,GSE276942,0.09814205538823106,0.860448666861483,0.9992643367945064,13,4
1810009A15Rik,GSE276942,-0.17920358301092154,0.18820385032192238,0.9992643367945064,13,4
1810010H24Rik,GSE276942,-0.01839303073900833,0.8370601173066322,0.9992643367945064,13,4
1810010K12Rik,GSE276942,-0.017911927201125,0.9789702483901087,0.9992643367945064,13,4
1810011H11Rik,GSE276942,0.028155912067472144,0.8936233665824991,0.9992643367945064,13,4
1810011O10Rik,GSE276942,-0.06192597427095681,0.8359676328367659,0.9992643367945064,13,4
1810013L24Rik,GSE276942,0.04528905966477126,0.8337177951651794,0.9992643367945064,13,4
1810014B01Rik,GSE276942,-0.26643729805225824,0.28405767350283656,0.9992643367945064,13,4
1810020O05Rik,GSE276942,-0.5536261562714375,0.3404635384666705,0.9992643367945064,13,4
1810021B22Rik,GSE276942,-0.32075912270357154,0.1349981271414085,0.9992643367945064,13,4
1810022K09Rik,GSE276942,-0.1848028975069722,0.6387590240551985,0.9992643367945064,13,4
1810024B03Rik,GSE276942,-0.4610421376143159,0.017231033170558716,0.9702489264054063,13,4
1810026B05Rik,GSE276942,0.06991094914406659,0.7899476158302176,0.9992643367945064,13,4
1810026J23Rik,GSE276942,-0.032929686747420917,0.7953614446394413,0.9992643367945064,13,4
1810030O07Rik,GSE276942,-0.08347556425609426,0.7366177793725364,0.9992643367945064,13,4
1810032O08Rik,GSE276942,-0.3119079691726716,0.1639510638780404,0.9992643367945064,13,4
1810037I17Rik,GSE276942,-0.14424647959605252,0.31095159166769626,0.9992643367945064,13,4
1810041H14Rik,GSE276942,0.2271577213611966,0.6723023856799833,0.9992643367945064,13,4
1810041L15Rik,GSE276942,-0.12819734350160772,0.20031435994091445,0.9992643367945064,13,4
1810043G02Rik,GSE276942,-0.07360718629446694,0.6040796073851008,0.9992643367945064,13,4
1810043H04Rik,GSE276942,-0.1118734237407768,0.3584224946827394,0.9992643367945064,13,4
1810044D09Rik,GSE276942,-0.9786734552043734,0.000378981741795845,0.2832255790117147,13,4
1810049J17Rik,GSE276942,-0.001985362734420182,0.9913587219995006,0.999920929788857,13,4
1810055G02Rik,GSE276942,-0.0025236719007448727,0.9779948841456951,0.9992643367945064,13,4
1810058I24Rik,GSE276942,-0.20108521680835345,0.0203081796730629,0.9992643367945064,13,4
1810062O18Rik,GSE276942,-0.362337367625468,0.25679458316007525,0.9992643367945064,13,4
2010001A14Rik,GSE276942,-0.3924655464207314,0.07909205083717306,0.9992643367945064,13,4
2010007H06Rik,GSE276942,-0.6590910792918026,0.27997006863748347,0.9992643367945064,13,4
2010015M23Rik,GSE276942,0.04684307792520892,0.915480800717919,0.9992643367945064,13,4
2010107E04Rik,GSE276942,-0.17406902937876723,0.09620524396636246,0.9992643367945064,13,4
2010107G12Rik,GSE276942,-0.4134555487270988,0.2843442214700338,0.9992643367945064,13,4
2010107G23Rik,GSE276942,-0.09951304532633465,0.44271960655133485,0.9992643367945064,13,4
2010109A12Rik,GSE276942,-0.19961552474636646,0.684397084958124,0.9992643367945064,13,4
2010111I01Rik,GSE276942,-0.15804394542993094,0.6011582966212496,0.9992643367945064,13,4
2010204K13Rik,GSE276942,0.1450448158954476,0.3901758622934734,0.9992643367945064,13,4
2010300C02Rik,GSE276942,-0.13683768048097988,0.20345214231618197,0.9992643367945064,13,4
2010315B03Rik,GSE276942,-0.514175150554208,0.2606873446893005,0.9992643367945064,13,4
