gene,timepoint,log2FC,p,padj
1700112D23Rik,24H,-0.06527804512165547,0.8582508081453595,1.0
1700112E06Rik,24H,0.3689778881151633,0.06176312750048352,1.0
1700112J16Rik,24H,-0.05316466481967952,0.9154314059181358,1.0
1700113A16Rik,24H,0.06568914145434412,0.8232966062834994,1.0
1700120C14Rik,24H,0.24596130082365653,0.6779901995045694,1.0
1700123M08Rik,24H,0.5714678675812168,0.11753099831649547,1.0
1700123O20Rik,24H,0.0391540259878127,0.7395777115864334,1.0
1700124L16Rik,24H,0.5126619846558409,0.5035073538286945,1.0
1810009A15Rik,24H,-0.08993507957429259,0.4946277471381155,1.0
1810010H24Rik,24H,0.04630665560574698,0.7194087951717444,1.0
1810010K12Rik,24H,-0.2969927222466935,0.7071771216506703,1.0
1810011H11Rik,24H,0.022174675758253493,0.9439636082334683,1.0
1810011O10Rik,24H,0.1208587067801199,0.6959867748215232,1.0
1810013L24Rik,24H,0.23073993043686158,0.4988578010811995,1.0
1810014B01Rik,24H,-0.20000451556440524,0.5492533762160392,1.0
1810020O05Rik,24H,-1.0372140269621055,0.40548430371065597,1.0
1810021B22Rik,24H,0.013869983771425787,0.9775600785189499,1.0
1810022K09Rik,24H,0.2041583461679295,0.6768819590635649,1.0
1810024B03Rik,24H,-0.39708204465316266,0.2361956876266486,1.0
1810026B05Rik,24H,0.33482134341956904,0.4992163758541214,1.0
1810026J23Rik,24H,0.0034421697158908415,0.9874967671073099,1.0
1810030O07Rik,24H,0.12207119745655959,0.7738998119994573,1.0
1810032O08Rik,24H,-0.43107716369269067,0.30504205613322255,1.0
1810037I17Rik,24H,-0.04678961498116152,0.8061983364897657,1.0
1810041H14Rik,24H,0.862267255528129,0.19485091799564583,1.0
1810041L15Rik,24H,-0.06462836855992116,0.5180816186884207,1.0
1810043G02Rik,24H,-0.07470284917519976,0.6327580448428421,1.0
1810043H04Rik,24H,0.03548232177236521,0.8301865705010743,1.0
1810044D09Rik,24H,-1.1754112366490226,0.13138260894083156,1.0
1810049J17Rik,24H,0.14852892931524941,0.5374488426249916,1.0
1810055G02Rik,24H,-0.05759930749319686,0.6593136454274842,1.0
1810058I24Rik,24H,-0.05643353128091633,0.5255193253014054,1.0
1810062O18Rik,24H,-0.4439770529076501,0.20691079809295715,1.0
2010001A14Rik,24H,-0.389494342422803,0.13551668770116979,1.0
2010007H06Rik,24H,-1.0282187988081053,0.5585509161344241,1.0
2010015M23Rik,24H,0.4819237413981319,0.32979304385983166,1.0
