gene,cluster,max_membership
Sgsh,0,0.999
Sh3kbp1,0,1.0
Shpk,0,0.984
Siae,0,0.999
Sik1,0,0.994
Slc10a4,3,0.4
Slc12a2,0,0.999
Slc15a3,0,0.812
Slc22a12,2,0.292
Slc22a5,0,0.999
Slc23a3,3,0.399
Slc26a4,2,0.567
Slc27a2,0,0.995
Slc35f2,0,0.996
Slc38a1,0,0.922
Slc39a6,0,1.0
Slc40a1,0,0.845
Slc43a3,0,0.488
Slc45a3,0,0.723
Slc4a11,0,0.526
Slc5a10,1,0.633
Slc6a12,3,0.664
Slfn5,2,0.503
Slfn8,2,0.909
Smarce1-ps1,0,0.99
Smc4,2,0.999
Smco3,0,0.632
Smek2,0,0.57
Snai1,0,0.431
Snhg5,2,0.973
Snx7,0,0.992
Snx8,0,0.994
Sod3,0,0.998
Sorbs2,0,1.0
Sp110,0,0.829
Sp7,2,0.628
Spag4,2,0.954
Spag6l,0,0.819
Spata24,2,0.74
Spata3,0,0.416
Spata32,4,0.482
Spint1,3,0.597
Spocd1,3,0.851
Spock3,0,1.0
Spred1,0,1.0
Sprtn,0,0.982
Sptbn5,3,0.836
Srbd1,0,0.913
Srgap3,0,0.664
Sspn,0,0.996
Stard4,0,1.0
Stau1,0,0.999
Stc2,0,0.997
Stk10,0,1.0
Stk38l,0,1.0
Stox1,2,0.865
Stxbp3,0,0.982
Suclg2,0,1.0
